06:15:30 | INFO | Opening WorkflowPage at https://test.detelio.ai/workflows/workflows
06:15:30 | INFO | Waiting for WorkflowPage to be loaded
06:15:31 | MANUAL | [32mGenerated company link info: {'company_name': 'Mcgee, Whitaker and Martin', 'email': 'rfleming@example.net', 'deadline_date': '04.01.2027'}[0m
06:15:31 | INFO | Generating form with {'company_name': 'Mcgee, Whitaker and Martin', 'email': 'user@', 'deadline_date': '04.01.2027'}
06:15:31 | INFO | Waiting for GenerateModal to be loaded
06:15:32 | INFO | <green>✓ Filled company name: Mcgee, Whitaker and Martin</green>
06:15:32 | INFO | <green>✓ Filled email: user@</green>
06:15:32 | INFO | <green>✓ Set deadline date: 04/01/2027</green>
06:15:32 | INFO | <green>✓ Clicked generate button</green>
