13:15:05 | INFO | Creating clean context (No Auth)
13:15:05 | INFO | Opening page SignInPage at https://test.detelio.ai/sign-in
13:15:05 | INFO | Waiting for SignInPage to be loaded
13:15:05 | ERROR | Browser Console error: Failed to load resource: the server responded with a status of 401 (Unauthorized)
13:15:06 | INFO | ✓ Entering username
13:15:06 | INFO | ✓ Entering password
13:15:06 | INFO | ✓ Clicking login button
13:15:07 | INFO | ✓ Verifying login success
13:15:07 | ERROR | Browser Console error: Failed to load resource: the server responded with a status of 400 (Bad Request)
