07:33:04 | INFO | Creating clean context (No Auth)
07:33:04 | INFO | Opening page SignInPage at https://test.detelio.ai/sign-in
07:33:04 | INFO | Waiting for SignInPage to be loaded
07:33:05 | ERROR | Browser Console error: Failed to load resource: the server responded with a status of 401 (Unauthorized)
07:33:05 | INFO | ✓ Entering username
07:33:05 | INFO | ✓ Entering password
07:33:05 | INFO | ✓ Clicking login button
07:33:06 | INFO | ✓ Verifying login success
07:33:06 | ERROR | Browser Console error: Failed to load resource: the server responded with a status of 400 (Bad Request)
