13:16:46 | INFO | Creating clean context (No Auth)
13:16:46 | INFO | Opening page SignInPage at https://test.detelio.ai/sign-in
13:16:46 | INFO | Waiting for SignInPage to be loaded
13:16:47 | ERROR | Browser Console error: Failed to load resource: the server responded with a status of 401 (Unauthorized)
13:16:48 | INFO | ✓ Entering username
13:16:48 | INFO | ✓ Entering password
13:16:48 | INFO | ✓ Clicking login button
13:16:48 | INFO | ✓ Verifying login success
13:16:48 | ERROR | Browser Console error: Failed to load resource: the server responded with a status of 400 (Bad Request)
