10:04:47 | INFO | Creating clean context (No Auth)
10:04:47 | INFO | Opening page SignInPage at https://test.detelio.ai/sign-in
10:04:47 | INFO | Waiting for SignInPage to be loaded
10:04:47 | ERROR | Browser Console error: Failed to load resource: the server responded with a status of 401 (Unauthorized)
10:04:48 | INFO | ✓ Entering username
10:04:48 | INFO | ✓ Entering password
10:04:48 | INFO | ✓ Clicking login button
10:04:48 | INFO | ✓ Verifying login success
10:04:49 | ERROR | Browser Console error: Failed to load resource: the server responded with a status of 400 (Bad Request)
