13:22:50 | INFO | public.conftest:context | Creating clean context (No Auth)
13:22:50 | INFO | framework.locators.main_interfaces:open | Opening page SignInPage at https://test.detelio.ai/sign-in
13:22:50 | INFO | framework.locators.main_interfaces:wait_loaded | Waiting for SignInPage to be loaded
13:22:50 | ERROR | framework.utils.browser_factory:handle_console | Browser Console error: Failed to load resource: the server responded with a status of 401 (Unauthorized)
13:22:51 | INFO | framework.locators.sign_in_page:login | ✓ Entering username
13:22:51 | INFO | framework.locators.sign_in_page:login | ✓ Entering password
13:22:51 | INFO | framework.locators.sign_in_page:login | ✓ Clicking login button
13:22:51 | INFO | framework.locators.sign_in_page:login | ✓ Verifying login success
13:22:52 | ERROR | framework.utils.browser_factory:handle_console | Browser Console error: Failed to load resource: the server responded with a status of 400 (Bad Request)
