07:34:08 | INFO | Creating clean context (No Auth)
07:34:08 | INFO | Opening page SignInPage at https://test.detelio.ai/sign-in
07:34:08 | INFO | Waiting for SignInPage to be loaded
07:34:09 | ERROR | Browser Console error: Failed to load resource: the server responded with a status of 401 (Unauthorized)
07:34:09 | INFO | ✓ Entering username
07:34:09 | INFO | ✓ Entering password
07:34:09 | INFO | ✓ Clicking login button
07:34:10 | INFO | ✓ Verifying login success
07:34:10 | ERROR | Browser Console error: Failed to load resource: the server responded with a status of 400 (Bad Request)
