15:29:29 | INFO | Creating clean context (No Auth)
15:29:29 | INFO | Opening page SignInPage at https://test.detelio.ai/sign-in
15:29:29 | INFO | Waiting for SignInPage to be loaded
15:29:30 | ERROR | Browser Console error: Failed to load resource: the server responded with a status of 401 (Unauthorized)
15:29:31 | INFO | ✓ Entering username
15:29:31 | INFO | ✓ Entering password
15:29:31 | INFO | ✓ Clicking login button
15:29:31 | INFO | ✓ Verifying login success
15:29:32 | ERROR | Browser Console error: Failed to load resource: the server responded with a status of 400 (Bad Request)
