15:31:12 | INFO | Creating clean context (No Auth)
15:31:12 | INFO | Opening page SignInPage at https://test.detelio.ai/sign-in
15:31:13 | INFO | Waiting for SignInPage to be loaded
15:31:13 | ERROR | Browser Console error: Failed to load resource: the server responded with a status of 401 (Unauthorized)
15:31:14 | INFO | ✓ Entering username
15:31:14 | INFO | ✓ Entering password
15:31:14 | INFO | ✓ Clicking login button
15:31:14 | INFO | ✓ Verifying login success
15:31:15 | ERROR | Browser Console error: Failed to load resource: the server responded with a status of 400 (Bad Request)
