18:01:43 | INFO | Creating clean context (No Auth)
18:01:43 | INFO | Opening page SignInPage at https://test.detelio.ai/sign-in
18:01:43 | INFO | Waiting for SignInPage to be loaded
18:01:44 | ERROR | Browser Console error: Failed to load resource: the server responded with a status of 401 (Unauthorized)
18:01:45 | INFO | ✓ Entering username
18:01:45 | INFO | ✓ Entering password
18:01:45 | INFO | ✓ Clicking login button
18:01:45 | INFO | ✓ Verifying login success
18:01:46 | ERROR | Browser Console error: Failed to load resource: the server responded with a status of 400 (Bad Request)
