07:33:06 | INFO | Creating clean context (No Auth)
07:33:06 | INFO | Opening page SignInPage at https://test.detelio.ai/sign-in
07:33:07 | INFO | Waiting for SignInPage to be loaded
07:33:07 | ERROR | Browser Console error: Failed to load resource: the server responded with a status of 401 (Unauthorized)
07:33:08 | INFO | ✓ Entering username
07:33:08 | INFO | ✓ Entering password
07:33:08 | INFO | ✓ Clicking login button
07:33:08 | INFO | ✓ Verifying login success
07:33:09 | ERROR | Browser Console error: Failed to load resource: the server responded with a status of 400 (Bad Request)
